"portfolio","product_id","number","name","printing","set","rarity","finish","condition","qty","paid_usd","market_usd","low_usd","high_usd","price_source","price_as_of","added"
"","454548","OP01-027","Round Table","base","OP01","C","Normal","NM","1","","0.59","0.28","24.0","TCGplayer via TCGCSV","",""
"","454550","OP01-029","Radical Beam!!","base","OP01","UC","Normal","NM","1","","0.24","0.15","7.0","TCGplayer via TCGCSV","",""
"","453512","OP01-030","In Two Years!! At the Sabaody Archipelago!!","base","OP01","UC","Normal","LP","2","","0.78","0.25","5.0","TCGplayer via TCGCSV","",""
"","454551","OP01-031","Kouzuki Oden","base","OP01","L","Normal","NM","1","","0.26","0.15","4.99","TCGplayer via TCGCSV","",""
"","454553","OP01-032","Ashura Doji","base","OP01","UC","Normal","NM","1","","0.13","0.03","3.0","TCGplayer via TCGCSV","",""
"","454555","OP01-034","Inuarashi","base","OP01","C","Normal","NM","1","","0.1","0.02","3.0","TCGplayer via TCGCSV","",""
"","454556","OP01-035","Okiku","base","OP01","R","Foil","NM","4","","0.24","0.1","5.0","TCGplayer via TCGCSV","",""
"","454558","OP01-036","Otsuru","base","OP01","C","Normal","LP","1","","0.08","0.01","3.0","TCGplayer via TCGCSV","",""
"","557289","ST01-006","Tony Tony.Chopper","base","OP-PR","C","Foil","NM","4","","604.2","604.2","1199.99","TCGplayer via TCGCSV","",""
"","501750","ST01-006","Tony Tony.Chopper","base","OP-PR","C","Normal","NM","4","","281.4","224.99","900.0","TCGplayer via TCGCSV","",""
"","535277","OP02-098","Koby","base","OP-PR","C","Foil","NM","4","","599.9","599.89","9000.0","TCGplayer via TCGCSV","",""
"","588171","OP02-034","Tony Tony.Chopper","base","OP-PR","UC","Foil","NM","4","","70.1","75.0","119.99","TCGplayer via TCGCSV","",""
"","530892","OP05-010","Nico Robin","base","OP05 ANN","UC","Normal","NM","4","","272.85","399.97","399.97","TCGplayer via TCGCSV","",""
"","530927","OP05-062","O-Nami","base","OP05 ANN","UC","Normal","NM","4","","227.77","700.0","2500.0","TCGplayer via TCGCSV","",""
"","668421","OP06-063","Vinsmoke Sora","base","OP-PR","UC","Foil","NM","4","","425.0","3000.0","3000.0","TCGplayer via TCGCSV","",""
"","586015","OP06-110","Nekomamushi","base","OP-PR","UC","Foil","NM","4","","68.33","149.01","150.0","TCGplayer via TCGCSV","",""
"Trade pile","498064","OP03-022","Arlong","alternate_art","OP03","L","Foil","NM","1","","39.97","32.0","149.99","TCGplayer via TCGCSV","",""
"Trade pile","485266","ST01-008","Nico Robin","alternate_art","OP-PR","PR","Foil","NM","1","","39.54","37.5","500.0","TCGplayer via TCGCSV","",""
"Trade pile","632484","OP11-106","Zeus","alternate_art","OP11","R","Foil","NM","1","","39.41","38.0","100.0","TCGplayer via TCGCSV","",""
"Trade pile","596920","OP09-001","Shanks","parallel","OP09","L","Foil","NM","1","","39.39","35.0","200.0","TCGplayer via TCGCSV","",""
"Trade pile","707118","OP17-058","Kaido","alternate_art","OP17","L","Foil","NM","1","","39.27","35.0","149.9","TCGplayer via TCGCSV","",""
